Event_Number,Date,Detection_Method,GPR_Value,GPR_Diff,GPR_Pct_Change,Wiki_Content,Detected_Locations
1,2015-01-08,spike,168.64,89.88,11411.76,"• Charlie Hebdo shooting
   - One of the suspects in the killings, Hamyd Mourad, voluntarily surrenders to police in Charleville-Mézières while the other two suspects are still at large. ( The New York Times ) (CNN)
   - On the night of January 7 and morning of January 8, assailants throw grenades and fire guns at three mosques throughout France. (ForeignPolicy.com)

• 2015 Baga massacre
   - Boko Haram militants raze the entire town of Baga in north-east Nigeria. Bodies lay strewn on Baga's streets with as many as 2,000 people having been killed. Boko Haram now controls 70% of Borno State , which is the worst-affected by the insurgency. (BBC)

• Iraqi insurgency (2011–present)
   - A suicide bomber targets a police checkpoint in the town of Youssifiyah , killing seven people. (AAP via The Australian )","Borno State, Charleville-Mézières, France, Youssifiyah, north-east Nigeria"
2,2015-03-27,spike,199.25,95.85,9268.86,"• 2015 military intervention in Yemen
   - A Middle Eastern coalition led by the Saudi Arabian army and Egyptian navy attacks positions in Yemen for the second successive day, resulting in at least ten deaths in Saada Governorate . Saudi Arabia declares that it will enforce a "" no-fly zone "". (CNN)

• War in Somalia
   - Militants believed to be from al-Shabab attack and temporarily occupy a Mogadishu hotel leaving at least nine people dead. (AP)","Mogadishu, Saudi Arabia, Somalia, Yemen"
3,2015-07-15,spike,229.98,162.28,23969.1,"• Boko Haram
   - At least 33 people are killed in Boko Haram attacks in recent days in northeastern Nigeria . (CNN)

• Yemeni Crisis (2011–present)
   - Loyalists of exiled President Abd Rabbuh Mansur Hadi capture Aden International Airport after four months of being under Houthi control. (Al-Arabiyah)",Nigeria
4,2015-09-22,spike,188.75,102.34,11842.36,"• 2015 Burkinabé coup d'état
   - The army of Burkina Faso arrives in Ouagadougou to seek the surrender of the Presidential Guard that staged the coup. (BBC)
   - The coup leaders free President Michel Kafando and Prime Minister Yacouba Isaac Zida after the army entered the capital, Ouagadougou . Negotiations seeking a peaceful resolution between the chief of the army and the leader of presidential guard continue. (DW Akademie)

• Moro conflict
   - Filipino troops stage raids to attempt to free six overseas-born hostages held by Abu Sayyaf militants. (AP)

• Syrian Civil War , Russia's role in the Syrian Civil War
   - IHS Jane's reports satellite photos, taken in mid-September, show Russian forces developing two additional military facilities near Syria's Mediterranean coast . (Reuters)
   - U.S. Secretary of State John Kerry says the type of Russian aircraft in Syria is consistent with that needed to protect their own forces. However, it is still not clear what Russia's long-term intentions are. (Voice of America) , (Reuters)","Ouagadougou, Russia, Syria, U.S."
5,2015-11-16,spike,291.99,230.42,37422.5,"• November 2015 Paris attacks
   - Authorities search for Belgium -born French national Salah Abdeslam, one of three brothers suspected of involvement in the attacks. Raids are reported to have taken place in Grenoble , Toulouse , Jeumont and the Paris suburb of Bobigny . This contradicts previously published official information that all the perpetrators of the attacks were dead. (CNN) ( The Guardian )
   - Mohamed Abdeslam, brother of suspect fugitive Salah Abdeslam , and Ibrahim Abdeslam, a suicide bomber in the attacks, is released by authorities after questioning this weekend. His attorney told reporters, her client ""hadn't made the same life choices."" (The Independent) (Fox News)
   - Abdelhamid Abaaoud , a leading Belgian jihadist who is one of the most active ISIS operators in Syria , is the suspected head organizer behind the Paris massacre. He is also linked to thwarted attacks on a Paris -bound high-speed train and a church near the French capital, earlier this year. (NBC News)
   - Hacktivist group Anonymous declares war on ISIS taking down 2,000 related Twitter accounts as well as some donation groups for the terrorists on the Dark Web . The group also criticized the lack of similar actions by Western governments. (MSN)
   - A U.S. official states that intelligence sources detect increased chatter encouraging terrorist attacks on the U.S. but lacks credible or actionable information. This, following reports that Iraqi intelligence sources warned anti- ISIS coalition members of attacks one day before the attacks. The information from Iraq also lacked specific information. (Associated Press via Military.com) (Associate Press via Military Times)
   - The governors of the U.S. states of Alabama , Arizona , Arkansas , Florida , Georgia , Idaho , Illinois , Indiana , Iowa , Kansas , Louisiana , Maine , Michigan , Mississippi , Massachusetts , Nebraska , New Hampshire , North Carolina , Ohio , Oklahoma , South Carolina , Tennessee , Texas and Wisconsin say they will not accept Syrian refugees in response to the Islamic terror attacks in Paris . Twenty-three of the 24 governors are Republican with the other being Democrat (New Hampshire). (USA Today)

• Saudi Arabian-led intervention in Yemen
   - Yemeni security officials, who are neutral in the conflict, say Saudi -led airstrikes and clashes have killed over 40 Houthi militants and 4 civilians over the past 24 hours, with most of the airstrikes taking place in the southwestern Ibb Governorate . ( The Washington Post )

• Sinai insurgency
   - Egypt 's security forces shoot dead at least 24 ISIS militants as they hid inside a cave in a mountainous area in central Sinai , not far from the crash site of Metrojet Flight 9268 , a Russian airliner the group says it brought down. (Reuters) (Independent)","Alabama, Arizona, Arkansas, Belgium, Bobigny, Egypt, Florida, Georgia, Idaho, Illinois, Indiana, Iowa, Iraq, Kansas, Louisiana, Maine, Massachusetts, Michigan, Mississippi, Nebraska, New Hampshire, North Carolina, Ohio, Oklahoma, Paris, South Carolina, Syria, Tennessee, Texas, U.S., Wisconsin, Yemen"
6,2016-01-01,spike,208.84,138.73,19788.04,"• Israeli–Palestinian conflict
   - A shooting takes place at a pub in Tel Aviv , Israel , leaving two dead and eight injured. The gunman managed to escape and possibly killed his accomplice, an Arab taxi driver, whose body was found nearby. The police identified the shooter as 30 year old muslim Nisa'at Melkham from Ar'ara and searched his home. ( Haaretz )","Israel, Tel Aviv"
7,2016-03-23,spike,245.38,169.0,22129.63,"• 2016 Brussels bombings
   - Belgian federal prosecutor Frederic Van Leeuw  says two brothers of Belgian nationality, Khalid and Brahim el-Bakraoui, were responsible for yesterday's suicide bombings. Khalid bombed the subway station while Ibrahim bombed the airport, he added. A third suspect, who died at the airport, is identified as Najim Laachraoui, says De Standaard . A fourth suspect seen in the airport photo, who left a massive bomb at the airport that did not detonate, is unidentified and still at large. (UPI) ( Los Angeles Times ) ( De Standaard )
   - Van Leeuw says 31 people died and 271 are injured in the bombings. (UPI)
   - Referring to the Brussels bombings, Poland abandons a pledge to shelter Syrian migrants under a European Union relocation agreement. (Reuters)

• Yemeni Civil War (2015–present) , War on Terror
   - At least 50 militants are reportedly killed in a U.S. air strike on an Al-Qaeda training camp in southern Yemen . (Reuters)","Brussels, Poland, U.S., Yemen"
8,2016-09-19,spike,255.73,204.69,40109.35,"• 2016 New York and New Jersey bombings
   - A bomb squad robot detonates an explosive device at a transit station in Elizabeth, New Jersey . There has been a previous explosion in Seaside Park . No one is hurt. (NBC News)
   - Linden, New Jersey police shoot and arrest Ahmad Khan Rahami, the suspected perpetrator. Two police officers are reportedly injured. ( The New York Times )

• War in Afghanistan (2001–2021)
   - Afghan officials say yesterday's U.S. airstrikes killed up to eight Afghan policemen in Lashkar Gah , Uruzgan . (Reuters)

• A Democratic Republic of the Congo protest calling for the resignation of President Joseph Kabila turns violent in Kinshasa , leaving at least 17 people dead, including three police officers. Opposition groups say that 50 people died. (Le Point) (DNA) (BBC)

• Syrian civil war
   - Hours after the Syrian military declares the end of the ceasefire, an airstrike hits a convoy of United Nations OCHA aid trucks near the town of Urum al-Kubra , in the Aleppo Governorate , with the Syrian Observatory for Human Rights reporting that at least 12 people have been killed. (BBC)","A Democratic Republic of, Afghanistan, Congo, Elizabeth, Kinshasa, New Jersey, New York, U.S."
9,2016-12-30,spike,206.67,107.88,10920.97,"• 2016 Berlin truck attack
   - The funeral of Łukasz Urban, the driver killed in the course of last week's attack on a Christmas market in Berlin, takes place in his village of Banie near the German border. President of Poland Andrzej Duda and a German diplomat attend. (BBC) (Deutsche Welle)","Berlin, Poland"
10,2017-02-10,spike,212.41,120.11,13012.73,"• French police arrest three men and a 16-year-old girl found with bomb-making materials in a Montpellier flat. The female suspect had been spotted online saying she wanted to either leave for the Syria-Iraq conflict or mount an attack in France, and recorded a video in which she pledged allegiance to ISIL . (BBC)

• In Hong Kong,  over 16 were injured, and an incoherent man  was charged with arson after an alleged firebomb attack on a rush hour Hong Kong metro commuter train. The man set fire to himself and others with a flammable liquid for an unspecified personal reason, but officials found no evidence of a terrorist motive. ( Independent )","France, Hong Kong, Syria"
