location,Event_Count,Converge_Count,Diverge_Count,BTC_GOLD_Converge_Count,GOLD_OIL_Converge_Count,BTC_CAR_Mean,BTC_CAR_Std,GOLD_CAR_Mean,GOLD_CAR_Std,OIL_CAR_Mean,OIL_CAR_Std,GPR_Diff_Mean,Converge_Rate,Diverge_Rate,BTC_GOLD_Converge_Rate,GOLD_OIL_Converge_Rate
Israel,22,8,14,14,9,-0.0759,0.2193,-0.0022,0.0401,-0.0114,0.0817,116.367,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.4090909090909091
Ukraine,19,7,12,12,9,0.0108,0.1813,0.0089,0.0358,0.0201,0.0951,119.4103,0.3684210526315789,0.631578947368421,0.631578947368421,0.47368421052631576
Gaza,17,4,13,9,5,-0.0215,0.229,0.0015,0.0405,0.0137,0.0856,114.9692,0.23529411764705882,0.7647058823529411,0.5294117647058824,0.29411764705882354
Afghanistan,11,3,8,6,6,0.0045,0.239,-0.0084,0.0364,0.0651,0.2132,112.5362,0.2727272727272727,0.7272727272727273,0.5454545454545454,0.5454545454545454
Gaza Strip,11,3,8,7,4,0.0426,0.2217,-0.0009,0.0388,0.0249,0.0688,122.1415,0.2727272727272727,0.7272727272727273,0.6363636363636364,0.36363636363636365
Syria,10,2,8,5,4,0.0274,0.1771,0.0306,0.0392,-0.0184,0.0712,106.8324,0.2,0.8,0.5,0.4
Iraq,10,1,9,4,5,0.1011,0.2185,-0.0097,0.058,-0.0568,0.0791,152.4491,0.1,0.9,0.4,0.5
Lebanon,9,4,5,6,5,-0.0857,0.2055,-0.0006,0.0409,0.0058,0.0651,108.8479,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.5555555555555556
Russia,9,3,6,5,5,-0.0373,0.143,-0.0051,0.0356,0.018,0.0737,122.2815,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.5555555555555556
Yemen,8,1,7,5,4,0.0234,0.1851,0.0057,0.041,0.0136,0.075,132.6578,0.125,0.875,0.625,0.5
Iran,7,2,5,6,2,-0.0304,0.2521,-0.0148,0.0526,-0.0207,0.0839,142.4161,0.2857142857142857,0.7142857142857143,0.8571428571428571,0.2857142857142857
Donetsk,7,2,5,4,4,-0.0457,0.1588,0.0077,0.024,0.0276,0.0749,110.8386,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.5714285714285714
United States,7,2,5,4,4,0.1395,0.2341,-0.0069,0.0606,-0.0021,0.0831,117.1359,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.5714285714285714
Myanmar,5,2,3,3,2,-0.0065,0.2289,-0.011,0.0409,-0.0276,0.0486,92.7262,0.4,0.6,0.6,0.4
Kyiv,5,1,4,4,1,-0.0111,0.157,0.0011,0.0332,0.0405,0.0699,132.4695,0.2,0.8,0.8,0.2
West Bank,5,2,3,4,2,0.0252,0.2363,-0.0047,0.0429,-0.0172,0.0394,118.4942,0.4,0.6,0.8,0.4
Nigeria,4,0,4,0,1,-0.0274,0.144,-0.0044,0.0714,-0.0511,0.0727,129.4002,0.0,1.0,0.0,0.25
Jerusalem,4,1,3,1,1,-0.0817,0.1168,0.004,0.0612,-0.0159,0.0396,118.4645,0.25,0.75,0.25,0.25
Aleppo,4,1,3,1,2,0.0817,0.2408,-0.0049,0.0463,-0.0082,0.0288,124.6562,0.25,0.75,0.25,0.5
Kabul,4,0,4,2,1,0.0495,0.3522,-0.0026,0.0361,0.0479,0.054,111.1388,0.0,1.0,0.5,0.25
Egypt,4,0,4,1,2,0.1042,0.1768,-0.0043,0.06,-0.035,0.0597,146.3757,0.0,1.0,0.25,0.5
Saudi Arabia,4,1,3,2,3,-0.1775,0.0942,-0.0204,0.0748,0.011,0.0592,94.9374,0.25,0.75,0.5,0.75
Congo,4,2,2,2,2,-0.0737,0.062,-0.0179,0.0561,-0.0115,0.0361,125.0763,0.5,0.5,0.5,0.5
Pakistan,4,2,2,3,2,0.0642,0.2239,-0.0018,0.0437,-0.0036,0.1114,106.5181,0.5,0.5,0.75,0.5
Poland,4,0,4,3,1,-0.09,0.1177,-0.0021,0.0516,0.0284,0.0677,134.5507,0.0,1.0,0.75,0.25
United Kingdom,4,1,3,2,2,0.0208,0.0758,0.0127,0.045,0.0226,0.0357,123.184,0.25,0.75,0.5,0.5
Somalia,4,1,3,1,2,0.0035,0.2245,-0.0331,0.0463,0.0358,0.0674,151.5618,0.25,0.75,0.25,0.5
France,3,0,3,1,0,0.0448,0.1208,0.0352,0.0633,0.005,0.0716,154.3484,0.0,1.0,0.3333333333333333,0.0
Kashmir,3,1,2,1,2,-0.1739,0.6512,0.0038,0.0499,0.0554,0.0595,105.5783,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
Australia,2,1,1,1,2,0.0941,0.0146,0.0095,0.0186,0.0092,0.1936,126.6074,0.5,0.5,0.5,1.0
Sinai,2,0,2,0,1,0.0794,0.0162,-0.0561,0.0066,-0.0317,0.087,212.223,0.0,1.0,0.0,0.5
Ethiopia,2,2,0,2,2,-0.001,0.0849,-0.0196,0.0351,0.0045,0.0432,106.5333,1.0,0.0,1.0,1.0
Damascus,2,1,1,1,1,-0.2121,0.0014,0.0124,0.0377,-0.0705,0.009,86.2998,0.5,0.5,0.5,0.5
India,2,1,1,2,1,0.0667,0.2557,-0.003,0.0579,-0.0061,0.0045,119.9287,0.5,0.5,1.0,0.5
Crimea,2,1,1,2,1,0.1142,0.3228,-0.0006,0.0613,-0.0402,0.0528,100.9809,0.5,0.5,1.0,0.5
