date,gpr_value,gpr_diff,gpr_pct_change,method,start_date,end_date,duration_days,identified_event,identification_method
2015-01-08,168.6398162841797,89.87946319580078,114.11764888222993,spike,,,,GPR Event 2015-01-08,auto_detected
2015-03-27,199.252197265625,95.84588623046876,92.68862342249395,spike,,,,GPR Event 2015-03-27,auto_detected
2015-07-15,229.97799682617188,162.27588653564453,239.6910315487605,spike,,,,GPR Event 2015-07-15,auto_detected
2015-09-22,188.75030517578125,102.33549499511719,118.42356047669185,spike,,,,GPR Event 2015-09-22,auto_detected
2015-11-16,291.9892578125,230.4173698425293,374.2249546658475,spike,,,,GPR Event 2015-11-16,auto_detected
2016-01-01,208.8357849121093,138.72853088378898,197.88042308396308,spike,,,,GPR Event 2016-01-01,auto_detected
2016-03-23,245.37538146972656,169.00494384765625,221.29628834130898,spike,,,,GPR Event 2016-03-23,auto_detected
2016-09-19,255.72784423828125,204.69388961791992,401.09352908397176,spike,,,,GPR Event 2016-09-19,auto_detected
2016-12-30,206.6664276123047,107.8821029663086,109.20973884562693,spike,,,,GPR Event 2016-12-30,auto_detected
2017-02-10,212.408935546875,120.10829162597656,130.12725212286628,spike,,,,GPR Event 2017-02-10,auto_detected
2017-03-22,156.499267578125,75.28044128417969,92.68841316633467,spike,,,,GPR Event 2017-03-22,auto_detected
2017-06-05,276.6095275878906,188.03820037841797,212.30143693534646,spike,,,,GPR Event 2017-06-05,auto_detected
2017-07-05,208.90066528320312,130.95789337158203,168.0180088027592,spike,,,,GPR Event 2017-07-05,auto_detected
2017-08-10,215.31689453125,79.02162170410156,,high_period,2017-08-10,2017-08-22,13.0,GPR Event 2017-08-10,auto_detected
2017-09-04,253.0950622558593,119.40399169921866,89.31336341467251,spike,,,,GPR Event 2017-09-04,auto_detected
2017-11-02,188.31134033203125,112.45101165771484,148.2342795276957,spike,,,,GPR Event 2017-11-02,auto_detected
2018-01-02,188.6905670166016,92.1142501831055,95.37975065037581,spike,,,,GPR Event 2018-01-02,auto_detected
2018-04-12,296.5214233398437,194.02861022949213,189.3094787247045,spike,,,,GPR Event 2018-04-12,auto_detected
2018-05-23,179.17031860351562,97.31907653808594,118.8974951171684,spike,,,,GPR Event 2018-05-23,auto_detected
2018-07-23,161.70819091796875,107.60847091674805,198.90763004747524,spike,,,,GPR Event 2018-07-23,auto_detected
2018-11-13,142.2847900390625,99.5419807434082,232.8859108320911,spike,,,,GPR Event 2018-11-13,auto_detected
2019-01-02,189.860595703125,106.11590576171875,126.71359322718251,spike,,,,GPR Event 2019-01-02,auto_detected
2019-05-02,186.33192443847656,124.81280899047852,202.88459624550757,spike,,,,GPR Event 2019-05-02,auto_detected
2019-06-14,192.6398468017578,77.97403717041016,68.00112206166588,spike,,,,GPR Event 2019-06-14,auto_detected
2019-08-06,270.9353332519531,167.41759490966797,161.7284125316722,spike,,,,GPR Event 2019-08-06,auto_detected
2019-09-16,178.9195556640625,108.35106658935547,153.54029540670777,spike,,,,GPR Event 2019-09-16,auto_detected
2019-11-13,160.1495819091797,97.73888778686523,156.60599383066221,spike,,,,GPR Event 2019-11-13,auto_detected
2020-01-09,394.46002197265625,213.85459899902344,118.40984366800811,spike,,,,GPR Event 2020-01-09,auto_detected
2020-05-18,135.0965576171875,89.27957534790039,194.86131762926675,spike,,,,GPR Event 2020-05-18,auto_detected
2020-06-22,131.45111083984375,77.62800216674805,144.22801670233437,spike,,,,GPR Event 2020-06-22,auto_detected
2020-08-06,112.36660766601562,78.56489562988281,232.42874664425216,spike,,,,GPR Event 2020-08-06,auto_detected
