Event,Date,Asset,Window,CAR
Event_1,2015-03-27,BTC,"[-10,10]",-0.16038092345675115
Event_1,2015-03-27,GOLD,"[-10,10]",0.014851030168371922
Event_1,2015-03-27,OIL,"[-10,10]",0.06687336501173219
Event_2,2015-07-15,BTC,"[-10,10]",0.12373595536215481
Event_2,2015-07-15,GOLD,"[-10,10]",-0.0819877216005126
Event_2,2015-07-15,OIL,"[-10,10]",-0.14403139945786653
Event_3,2015-09-22,BTC,"[-10,10]",0.06646654533538968
Event_3,2015-09-22,GOLD,"[-10,10]",0.033854997223296095
Event_3,2015-09-22,OIL,"[-10,10]",0.06449805120867705
Event_4,2015-11-16,BTC,"[-10,10]",0.11805873348964824
Event_4,2015-11-16,GOLD,"[-10,10]",-0.06431329704907257
Event_4,2015-11-16,OIL,"[-10,10]",-0.09131309977164317
Event_5,2016-01-01,BTC,"[-10,10]",-0.31861075373171444
Event_5,2016-01-01,GOLD,"[-10,10]",0.04789714315094127
Event_5,2016-01-01,OIL,"[-10,10]",-0.1764084575003589
Event_6,2016-03-23,BTC,"[-10,10]",-0.0887902475079024
Event_6,2016-03-23,GOLD,"[-10,10]",-0.034595596526846906
Event_6,2016-03-23,OIL,"[-10,10]",0.11271060456211084
Event_7,2016-09-19,BTC,"[-10,10]",0.005968820256745647
Event_7,2016-09-19,GOLD,"[-10,10]",-0.029241544359116592
Event_7,2016-09-19,OIL,"[-10,10]",0.015585293904107622
Event_8,2016-12-30,BTC,"[-10,10]",0.02032900572948911
Event_8,2016-12-30,GOLD,"[-10,10]",0.0198745960423882
Event_8,2016-12-30,OIL,"[-10,10]",-0.041392867758446514
Event_9,2017-02-10,BTC,"[-10,10]",0.16892729496874637
Event_9,2017-02-10,GOLD,"[-10,10]",0.07031621191235554
Event_9,2017-02-10,OIL,"[-10,10]",-0.036334962772330524
Event_10,2017-03-22,BTC,"[-10,10]",-0.19984114434461553
Event_10,2017-03-22,GOLD,"[-10,10]",0.03725849385266532
Event_10,2017-03-22,OIL,"[-10,10]",-0.06896659771465678
