Day,BTC,GOLD,OIL
-10,-0.0008515832981800294,-0.0010503161503436342,-0.0016527224856275368
-9,0.0013892964446416663,0.00033680456139975715,4.873504912023812e-05
-8,-0.0017355795229914647,6.613869203200762e-05,0.002453609495076355
-7,-0.005272686138692101,0.0015875654354027225,-0.0005681143272826869
-6,-0.002285838786369656,0.0002548684138229607,-0.0011226032856662665
-5,0.005266579570875082,-0.0006392543535043328,-0.0008241304386262911
-4,-0.008066475737661876,0.0014808339292861205,0.004252356306004513
-3,0.007167984144863808,-0.0006359216259538777,-0.005404088796128478
-2,0.0033785029455906416,-0.0007067093601652219,0.0011618608444672648
-1,0.0018027106949458649,0.0016524146477978345,-0.0024423266656701586
0,0.004666745332037614,-0.00021044533437022015,0.00124548592234411
1,0.003615917878970383,0.00012136399685362392,-0.005340289997341886
2,-0.0002576137326734945,0.0005831212492646838,-0.002268901070000893
3,-0.00526998694373093,-1.2387283833865364e-05,0.005303591307189942
4,-0.00013694704735769099,0.00021584934648225828,0.0037958189320139914
5,-0.008269994467133517,0.0003670257898413432,0.004256631089040423
6,-0.006156817426910323,-0.00014291171559242154,-0.0026551919704765154
7,-0.0010079948758472369,0.000746979819163433,0.0005871947348050517
8,-9.415071801685967e-05,-7.090212478990609e-06,0.0016400984809088362
9,-0.004178699702289241,0.00014016444663005802,0.001935262321608943
10,0.0019456426882310449,-0.0006991681141790842,0.002506831413948526
